,0,1,2,3,4
18.7,2010,-0.5,-0.5,34.0536909,-118.2427666
19.7,2010,-0.5,-0.5,29.4246002,-98.4951405
25.4,2010,-0.5,-0.5,33.4485866,-112.0773456
31.4,2010,-0.5,-0.5,25.7742658,-80.1936589
35.0,2010,-0.5,-0.5,45.4149778,-72.749396
36.7,2010,-0.5,-0.5,32.9637838,-116.7706277
37.2,2010,-0.5,-0.5,47.6038321,-122.3300624
38.4,2010,-0.5,-0.5,38.8948932,-77.0365529
41.3,2010,-0.5,-0.5,37.8044557,-122.2713563
41.7,2010,-0.5,-0.5,39.7392364,-104.9848623
42.1,2010,-0.5,-0.5,29.7589382,-95.3676974
44.1,2010,-0.5,-0.5,42.3602534,-71.0582912
46.6,2010,-0.5,-0.5,36.1662859,-115.149225
46.7,2010,-0.5,-0.5,32.753177,-97.3327459
47.6,2010,-0.5,-0.5,36.4280088,-92.0269643
48.6,2010,-0.5,-0.5,41.8755616,-87.6244212
52.1,2010,-0.5,-0.5,44.9706705,-93.268217735811
54.9,2010,-0.5,-0.5,39.9527237,-75.1635262
58.0,2010,-0.5,-0.5,39.100105,-94.5781416
58.2,2010,-0.5,-0.5,39.7683331,-86.1583502
64.0,2010,-0.5,-0.5,39.9622601,-83.0007065
0.0,2010,-0.5,0.5,33.4485866,-112.0773456
33.1,2010,-0.5,0.5,36.4280088,-92.0269643
316.9,2010,-0.5,0.5,44.9706705,-93.268217735811
0,2010,-0.5,0.5,39.7683331,-86.1583502
15.4,2010,-0.5,1.5,33.4485866,-112.0773456
17.1,2010,-0.5,1.5,34.0536909,-118.2427666
19.6,2010,-0.5,1.5,47.6038321,-122.3300624
24.8,2010,-0.5,1.5,36.4280088,-92.0269643
25.6,2010,-0.5,1.5,39.7392364,-104.9848623
27.1,2010,-0.5,1.5,39.9527237,-75.1635262
27.4,2010,-0.5,1.5,44.9706705,-93.268217735811
27.7,2010,-0.5,1.5,32.9637838,-116.7706277
27.8,2010,-0.5,1.5,36.1662859,-115.149225
28.1,2010,-0.5,1.5,41.8755616,-87.6244212
33.2,2010,-0.5,1.5,45.4149778,-72.749396
37.6,2010,-0.5,1.5,37.8044557,-122.2713563
46.1,2010,-0.5,1.5,42.3602534,-71.0582912
0,2010,-0.5,1.5,39.9622601,-83.0007065
0,2010,-0.5,1.5,39.7683331,-86.1583502
0,2010,-0.5,1.5,29.4246002,-98.4951405
20.5,2010,-0.5,2.5,33.4485866,-112.0773456
35.4,2010,-0.5,2.5,25.7742658,-80.1936589
39.2,2010,-0.5,2.5,29.4246002,-98.4951405
41.9,2010,-0.5,2.5,42.3602534,-71.0582912
45.2,2010,-0.5,2.5,36.1662859,-115.149225
46.7,2010,-0.5,2.5,32.9637838,-116.7706277
47.5,2010,-0.5,2.5,32.753177,-97.3327459
48.9,2010,-0.5,2.5,47.6038321,-122.3300624
49.4,2010,-0.5,2.5,38.8948932,-77.0365529
52.6,2010,-0.5,2.5,36.4280088,-92.0269643
54.5,2010,-0.5,2.5,39.100105,-94.5781416
55.7,2010,-0.5,2.5,34.0536909,-118.2427666
56.2,2010,-0.5,2.5,45.4149778,-72.749396
56.4,2010,-0.5,2.5,29.7589382,-95.3676974
58.0,2010,-0.5,2.5,44.9706705,-93.268217735811
58.7,2010,-0.5,2.5,37.8044557,-122.2713563
63.9,2010,-0.5,2.5,39.9527237,-75.1635262
64.1,2010,-0.5,2.5,41.8755616,-87.6244212
64.8,2010,-0.5,2.5,39.9622601,-83.0007065
65.6,2010,-0.5,2.5,39.7683331,-86.1583502
71.1,2010,-0.5,2.5,39.7392364,-104.9848623
12.5,2010,-0.5,3.5,34.0536909,-118.2427666
14.7,2010,-0.5,3.5,39.9527237,-75.1635262
15.6,2010,-0.5,3.5,36.1662859,-115.149225
17.0,2010,-0.5,3.5,41.8755616,-87.6244212
19.6,2010,-0.5,3.5,29.7589382,-95.3676974
19.7,2010,-0.5,3.5,29.4246002,-98.4951405
20.4,2010,-0.5,3.5,36.4280088,-92.0269643
20.7,2010,-0.5,3.5,45.4149778,-72.749396
21.2,2010,-0.5,3.5,32.9637838,-116.7706277
21.6,2010,-0.5,3.5,38.8948932,-77.0365529
23.6,2010,-0.5,3.5,32.753177,-97.3327459
27.1,2010,-0.5,3.5,25.7742658,-80.1936589
35.4,2010,-0.5,3.5,39.7392364,-104.9848623
49.8,2010,-0.5,3.5,44.9706705,-93.268217735811
0,2010,-0.5,3.5,42.3602534,-71.0582912
0,2010,-0.5,3.5,39.7683331,-86.1583502
0,2010,-0.5,3.5,37.8044557,-122.2713563
0,2010,-0.5,3.5,47.6038321,-122.3300624
0.0,2010,-0.5,4.5,44.9706705,-93.268217735811
0.0,2010,-0.5,5.5,36.1662859,-115.149225
0.3,2010,-0.5,5.5,33.4485866,-112.0773456
24.6,2010,-0.5,5.5,29.7589382,-95.3676974
25.9,2010,-0.5,5.5,39.7392364,-104.9848623
0,2010,-0.5,5.5,42.3602534,-71.0582912
0,2010,-0.5,5.5,39.9622601,-83.0007065
0,2010,-0.5,5.5,37.8044557,-122.2713563
0,2010,-0.5,5.5,29.4246002,-98.4951405
0,2010,-0.5,5.5,32.9637838,-116.7706277
0,2010,-0.5,5.5,47.6038321,-122.3300624
13.8,2010,-0.5,6.5,34.0536909,-118.2427666
23.7,2010,-0.5,6.5,38.8948932,-77.0365529
