,0,1,2,3,4
18.7,2010,Both,All,"Los Angeles, CA",18.7
19.7,2010,Both,All,"San Antonio, TX",19.7
25.4,2010,Both,All,"Phoenix, AZ",25.4
31.4,2010,Both,All,"Miami (Miami-Dade County), FL",31.4
35.0,2010,Both,All,"San Francisco, CA",35.0
36.7,2010,Both,All,"San Diego County, CA",36.7
37.2,2010,Both,All,"Seattle, WA",37.2
38.4,2010,Both,All,"Washington, DC",38.4
41.3,2010,Both,All,"Oakland (Alameda County), CA",41.3
41.7,2010,Both,All,"Denver, CO",41.7
42.1,2010,Both,All,"Houston, TX",42.1
44.1,2010,Both,All,"Boston, MA",44.1
46.6,2010,Both,All,"Las Vegas (Clark County), NV",46.6
46.7,2010,Both,All,"Fort Worth (Tarrant County), TX",46.7
47.6,2010,Both,All,"U.S. Total, U.S. Total",47.6
48.6,2010,Both,All,"Chicago, Il",48.6
52.1,2010,Both,All,"Minneapolis, MN",52.1
54.9,2010,Both,All,"Philadelphia, PA",54.9
58.0,2010,Both,All,"Kansas City, MO",58.0
58.2,2010,Both,All,"Indianapolis (Marion County), IN",58.2
64.0,2010,Both,All,"Columbus, OH",64.0
0.0,2010,Both,American Indian/Alaska Native,"Phoenix, AZ",0.0
33.1,2010,Both,American Indian/Alaska Native,"U.S. Total, U.S. Total",33.1
316.9,2010,Both,American Indian/Alaska Native,"Minneapolis, MN",316.9
,2010,Both,American Indian/Alaska Native,"Indianapolis (Marion County), IN",
15.4,2010,Both,Asian/PI,"Phoenix, AZ",15.4
17.1,2010,Both,Asian/PI,"Los Angeles, CA",17.1
19.6,2010,Both,Asian/PI,"Seattle, WA",19.6
24.8,2010,Both,Asian/PI,"U.S. Total, U.S. Total",24.8
25.6,2010,Both,Asian/PI,"Denver, CO",25.6
27.1,2010,Both,Asian/PI,"Philadelphia, PA",27.1
27.4,2010,Both,Asian/PI,"Minneapolis, MN",27.4
27.7,2010,Both,Asian/PI,"San Diego County, CA",27.7
27.8,2010,Both,Asian/PI,"Las Vegas (Clark County), NV",27.8
28.1,2010,Both,Asian/PI,"Chicago, Il",28.1
33.2,2010,Both,Asian/PI,"San Francisco, CA",33.2
37.6,2010,Both,Asian/PI,"Oakland (Alameda County), CA",37.6
46.1,2010,Both,Asian/PI,"Boston, MA",46.1
,2010,Both,Asian/PI,"Columbus, OH",
,2010,Both,Asian/PI,"Indianapolis (Marion County), IN",
,2010,Both,Asian/PI,"San Antonio, TX",
20.5,2010,Both,Black,"Phoenix, AZ",20.5
35.4,2010,Both,Black,"Miami (Miami-Dade County), FL",35.4
39.2,2010,Both,Black,"San Antonio, TX",39.2
41.9,2010,Both,Black,"Boston, MA",41.9
45.2,2010,Both,Black,"Las Vegas (Clark County), NV",45.2
46.7,2010,Both,Black,"San Diego County, CA",46.7
47.5,2010,Both,Black,"Fort Worth (Tarrant County), TX",47.5
48.9,2010,Both,Black,"Seattle, WA",48.9
49.4,2010,Both,Black,"Washington, DC",49.4
52.6,2010,Both,Black,"U.S. Total, U.S. Total",52.6
54.5,2010,Both,Black,"Kansas City, MO",54.5
55.7,2010,Both,Black,"Los Angeles, CA",55.7
56.2,2010,Both,Black,"San Francisco, CA",56.2
56.4,2010,Both,Black,"Houston, TX",56.4
58.0,2010,Both,Black,"Minneapolis, MN",58.0
58.7,2010,Both,Black,"Oakland (Alameda County), CA",58.7
63.9,2010,Both,Black,"Philadelphia, PA",63.9
64.1,2010,Both,Black,"Chicago, Il",64.1
64.8,2010,Both,Black,"Columbus, OH",64.8
65.6,2010,Both,Black,"Indianapolis (Marion County), IN",65.6
71.1,2010,Both,Black,"Denver, CO",71.1
12.5,2010,Both,Hispanic,"Los Angeles, CA",12.5
14.7,2010,Both,Hispanic,"Philadelphia, PA",14.7
15.6,2010,Both,Hispanic,"Las Vegas (Clark County), NV",15.6
17.0,2010,Both,Hispanic,"Chicago, Il",17.0
19.6,2010,Both,Hispanic,"Houston, TX",19.6
19.7,2010,Both,Hispanic,"San Antonio, TX",19.7
20.4,2010,Both,Hispanic,"U.S. Total, U.S. Total",20.4
20.7,2010,Both,Hispanic,"San Francisco, CA",20.7
21.2,2010,Both,Hispanic,"San Diego County, CA",21.2
21.6,2010,Both,Hispanic,"Washington, DC",21.6
23.6,2010,Both,Hispanic,"Fort Worth (Tarrant County), TX",23.6
27.1,2010,Both,Hispanic,"Miami (Miami-Dade County), FL",27.1
35.4,2010,Both,Hispanic,"Denver, CO",35.4
49.8,2010,Both,Hispanic,"Minneapolis, MN",49.8
,2010,Both,Hispanic,"Boston, MA",
,2010,Both,Hispanic,"Indianapolis (Marion County), IN",
,2010,Both,Hispanic,"Oakland (Alameda County), CA",
,2010,Both,Hispanic,"Seattle, WA",
0.0,2010,Both,Multiracial,"Minneapolis, MN",0.0
0.0,2010,Both,Other,"Las Vegas (Clark County), NV",0.0
0.3,2010,Both,Other,"Phoenix, AZ",0.3
24.6,2010,Both,Other,"Houston, TX",24.6
25.9,2010,Both,Other,"Denver, CO",25.9
,2010,Both,Other,"Boston, MA",
,2010,Both,Other,"Columbus, OH",
,2010,Both,Other,"Oakland (Alameda County), CA",
,2010,Both,Other,"San Antonio, TX",
,2010,Both,Other,"San Diego County, CA",
,2010,Both,Other,"Seattle, WA",
13.8,2010,Both,White,"Los Angeles, CA",13.8
23.7,2010,Both,White,"Washington, DC",23.7
35.3,2010,Both,White,"Oakland (Alameda County), CA",35.3
35.9,2010,Both,White,"San Francisco, CA",35.9
39.3,2010,Both,White,"Seattle, WA",39.3
39.8,2010,Both,White,"Denver, CO",39.8
41.0,2010,Both,White,"San Diego County, CA",41.0
43.9,2010,Both,White,"Miami (Miami-Dade County), FL",43.9
46.8,2010,Both,White,"Phoenix, AZ",46.8
46.8,2010,Both,White,"San Antonio, TX",46.8
47.6,2010,Both,White,"Houston, TX",47.6
49.1,2010,Both,White,"Boston, MA",49.1
50.8,2010,Both,White,"U.S. Total, U.S. Total",50.8
51.3,2010,Both,White,"Fort Worth (Tarrant County), TX",51.3
51.4,2010,Both,White,"Chicago, Il",51.4
51.5,2010,Both,White,"Minneapolis, MN",51.5
54.3,2010,Both,White,"Philadelphia, PA",54.3
54.9,2010,Both,White,"Las Vegas (Clark County), NV",54.9
57.9,2010,Both,White,"Indianapolis (Marion County), IN",57.9
62.0,2010,Both,White,"Kansas City, MO",62.0
66.7,2010,Both,White,"Columbus, OH",66.7
12.7,2010,Female,All,"San Antonio, TX",12.7
15.2,2010,Female,All,"Los Angeles, CA",15.2
19.9,2010,Female,All,"Miami (Miami-Dade County), FL",19.9
26.7,2010,Female,All,"Phoenix, AZ",26.7
27.3,2010,Female,All,"San Francisco, CA",27.3
29.6,2010,Female,All,"Seattle, WA",29.6
30.4,2010,Female,All,"Washington, DC",30.4
30.7,2010,Female,All,"San Diego County, CA",30.7
31.7,2010,Female,All,"Houston, TX",31.7
31.8,2010,Female,All,"Boston, MA",31.8
31.8,2010,Female,All,"Denver, CO",31.8
38.1,2010,Female,All,"U.S. Total, U.S. Total",38.1
39.1,2010,Female,All,"Fort Worth (Tarrant County), TX",39.1
40.0,2010,Female,All,"Minneapolis, MN",40.0
40.4,2010,Female,All,"Chicago, Il",40.4
40.8,2010,Female,All,"Las Vegas (Clark County), NV",40.8
46.3,2010,Female,All,"Philadelphia, PA",46.3
48.6,2010,Female,All,"Indianapolis (Marion County), IN",48.6
52.0,2010,Female,All,"Kansas City, MO",52.0
54.7,2010,Female,All,"Columbus, OH",54.7
23.3,2010,Male,All,"Los Angeles, CA",23.3
23.8,2010,Male,All,"Phoenix, AZ",23.8
29.7,2010,Male,All,"San Antonio, TX",29.7
44.4,2010,Male,All,"San Diego County, CA",44.4
44.5,2010,Male,All,"San Francisco, CA",44.5
46.6,2010,Male,All,"Miami (Miami-Dade County), FL",46.6
46.9,2010,Male,All,"Oakland (Alameda County), CA",46.9
47.9,2010,Male,All,"Seattle, WA",47.9
50.2,2010,Male,All,"Washington, DC",50.2
53.5,2010,Male,All,"Las Vegas (Clark County), NV",53.5
55.5,2010,Male,All,"Denver, CO",55.5
56.2,2010,Male,All,"Houston, TX",56.2
57.5,2010,Male,All,"Fort Worth (Tarrant County), TX",57.5
60.3,2010,Male,All,"U.S. Total, U.S. Total",60.3
60.6,2010,Male,All,"Chicago, Il",60.6
61.3,2010,Male,All,"Boston, MA",61.3
65.7,2010,Male,All,"Philadelphia, PA",65.7
67.7,2010,Male,All,"Minneapolis, MN",67.7
71.3,2010,Male,All,"Indianapolis (Marion County), IN",71.3
74.4,2010,Male,All,"Kansas City, MO",74.4
76.0,2010,Male,All,"Columbus, OH",76.0
16.6,2011,Both,All,"Los Angeles, CA",16.6
25.0,2011,Both,All,"Phoenix, AZ",25.0
29.4,2011,Both,All,"Miami (Miami-Dade County), FL",29.4
31.6,2011,Both,All,"San Antonio, TX",31.6
33.8,2011,Both,All,"San Jose, CA",33.8
34.2,2011,Both,All,"New York City, NY",34.2
34.5,2011,Both,All,"Denver, CO",34.5
34.6,2011,Both,All,"Long Beach, CA",34.6
35.1,2011,Both,All,"Seattle, WA",35.1
36.2,2011,Both,All,"Minneapolis, MN",36.2
36.3,2011,Both,All,"Oakland (Alameda County), CA",36.3
36.3,2011,Both,All,"San Diego County, CA",36.3
39.0,2011,Both,All,"Houston, TX",39.0
40.2,2011,Both,All,"Washington, DC",40.2
42.1,2011,Both,All,"Boston, MA",42.1
46.0,2011,Both,All,"U.S. Total, U.S. Total",46.0
47.3,2011,Both,All,"Chicago, Il",47.3
47.3,2011,Both,All,"Fort Worth (Tarrant County), TX",47.3
49.9,2011,Both,All,"Portland (Multnomah County), OR",49.9
51.8,2011,Both,All,"Las Vegas (Clark County), NV",51.8
53.8,2011,Both,All,"Kansas City, MO",53.8
56.5,2011,Both,All,"Detroit, MI",56.5
58.3,2011,Both,All,"Philadelphia, PA",58.3
60.3,2011,Both,All,"Indianapolis (Marion County), IN",60.3
62.3,2011,Both,All,"Columbus, OH",62.3
0.0,2011,Both,American Indian/Alaska Native,"Indianapolis (Marion County), IN",0.0
26.8,2011,Both,American Indian/Alaska Native,"Denver, CO",26.8
30.0,2011,Both,American Indian/Alaska Native,"U.S. Total, U.S. Total",30.0
190.0,2011,Both,American Indian/Alaska Native,"Minneapolis, MN",190.0
17.1,2011,Both,Asian/PI,"Phoenix, AZ",17.1
19.0,2011,Both,Asian/PI,"Los Angeles, CA",19.0
20.7,2011,Both,Asian/PI,"Chicago, Il",20.7
23.0,2011,Both,Asian/PI,"Long Beach, CA",23.0
24.3,2011,Both,Asian/PI,"Boston, MA",24.3
24.3,2011,Both,Asian/PI,"New York City, NY",24.3
24.6,2011,Both,Asian/PI,"U.S. Total, U.S. Total",24.6
25.7,2011,Both,Asian/PI,"Minneapolis, MN",25.7
28.4,2011,Both,Asian/PI,"San Diego County, CA",28.4
28.8,2011,Both,Asian/PI,"San Jose, CA",28.8
30.0,2011,Both,Asian/PI,"Las Vegas (Clark County), NV",30.0
32.6,2011,Both,Asian/PI,"Oakland (Alameda County), CA",32.6
34.7,2011,Both,Asian/PI,"Seattle, WA",34.7
42.4,2011,Both,Asian/PI,"Philadelphia, PA",42.4
49.2,2011,Both,Asian/PI,"Denver, CO",49.2
,2011,Both,Asian/PI,"Columbus, OH",
,2011,Both,Asian/PI,"Indianapolis (Marion County), IN",
23.5,2011,Both,Black,"Minneapolis, MN",23.5
24.0,2011,Both,Black,"Phoenix, AZ",24.0
29.2,2011,Both,Black,"Miami (Miami-Dade County), FL",29.2
38.1,2011,Both,Black,"New York City, NY",38.1
44.7,2011,Both,Black,"San Diego County, CA",44.7
46.8,2011,Both,Black,"Denver, CO",46.8
47.9,2011,Both,Black,"San Antonio, TX",47.9
48.7,2011,Both,Black,"Fort Worth (Tarrant County), TX",48.7
48.9,2011,Both,Black,"Boston, MA",48.9
49.8,2011,Both,Black,"Los Angeles, CA",49.8
50.5,2011,Both,Black,"U.S. Total, U.S. Total",50.5
51.8,2011,Both,Black,"Washington, DC",51.8
54.3,2011,Both,Black,"Oakland (Alameda County), CA",54.3
56.7,2011,Both,Black,"Las Vegas (Clark County), NV",56.7
56.9,2011,Both,Black,"Detroit, MI",56.9
57.5,2011,Both,Black,"Seattle, WA",57.5
58.1,2011,Both,Black,"Houston, TX",58.1
59.3,2011,Both,Black,"Kansas City, MO",59.3
61.5,2011,Both,Black,"Long Beach, CA",61.5
62.8,2011,Both,Black,"Chicago, Il",62.8
63.5,2011,Both,Black,"Columbus, OH",63.5
63.6,2011,Both,Black,"Portland (Multnomah County), OR",63.6
64.1,2011,Both,Black,"Philadelphia, PA",64.1
74.2,2011,Both,Black,"Indianapolis (Marion County), IN",74.2
4.7,2011,Both,Hispanic,"Phoenix, AZ",4.7
11.8,2011,Both,Hispanic,"Los Angeles, CA",11.8
12.3,2011,Both,Hispanic,"Philadelphia, PA",12.3
13.8,2011,Both,Hispanic,"Washington, DC",13.8
14.3,2011,Both,Hispanic,"Minneapolis, MN",14.3
17.2,2011,Both,Hispanic,"Long Beach, CA",17.2
17.3,2011,Both,Hispanic,"Oakland (Alameda County), CA",17.3
17.5,2011,Both,Hispanic,"San Jose, CA",17.5
19.6,2011,Both,Hispanic,"Houston, TX",19.6
19.7,2011,Both,Hispanic,"Chicago, Il",19.7
19.8,2011,Both,Hispanic,"U.S. Total, U.S. Total",19.8
19.9,2011,Both,Hispanic,"Boston, MA",19.9
20.6,2011,Both,Hispanic,"New York City, NY",20.6
21.4,2011,Both,Hispanic,"San Antonio, TX",21.4
23.8,2011,Both,Hispanic,"San Diego County, CA",23.8
24.2,2011,Both,Hispanic,"Fort Worth (Tarrant County), TX",24.2
26.6,2011,Both,Hispanic,"Miami (Miami-Dade County), FL",26.6
27.2,2011,Both,Hispanic,"Las Vegas (Clark County), NV",27.2
30.0,2011,Both,Hispanic,"Denver, CO",30.0
,2011,Both,Hispanic,"Columbus, OH",
,2011,Both,Hispanic,"Indianapolis (Marion County), IN",
5.6,2011,Both,Multiracial,"Phoenix, AZ",5.6
6.2,2011,Both,Other,"San Antonio, TX",6.2
21.4,2011,Both,Other,"Las Vegas (Clark County), NV",21.4
25.7,2011,Both,Other,"Houston, TX",25.7
36.0,2011,Both,Other,"Fort Worth (Tarrant County), TX",36.0
,2011,Both,Other,"Boston, MA",
,2011,Both,Other,"Columbus, OH",
,2011,Both,Other,"San Diego County, CA",
10.3,2011,Both,White,"Los Angeles, CA",10.3
27.5,2011,Both,White,"Washington, DC",27.5
28.3,2011,Both,White,"Oakland (Alameda County), CA",28.3
33.5,2011,Both,White,"Seattle, WA",33.5
34.6,2011,Both,White,"Denver, CO",34.6
37.4,2011,Both,White,"Minneapolis, MN",37.4
37.6,2011,Both,White,"Long Beach, CA",37.6
38.0,2011,Both,White,"Miami (Miami-Dade County), FL",38.0
40.0,2011,Both,White,"San Diego County, CA",40.0
40.6,2011,Both,White,"Phoenix, AZ",40.6
41.9,2011,Both,White,"Houston, TX",41.9
42.0,2011,Both,White,"New York City, NY",42.0
42.8,2011,Both,White,"San Jose, CA",42.8
43.3,2011,Both,White,"San Antonio, TX",43.3
47.8,2011,Both,White,"Boston, MA",47.8
48.6,2011,Both,White,"Chicago, Il",48.6
49.2,2011,Both,White,"U.S. Total, U.S. Total",49.2
51.4,2011,Both,White,"Kansas City, MO",51.4
51.4,2011,Both,White,"Portland (Multnomah County), OR",51.4
51.5,2011,Both,White,"Fort Worth (Tarrant County), TX",51.5
53.8,2011,Both,White,"Detroit, MI",53.8
55.9,2011,Both,White,"Philadelphia, PA",55.9
58.4,2011,Both,White,"Indianapolis (Marion County), IN",58.4
59.1,2011,Both,White,"Las Vegas (Clark County), NV",59.1
64.3,2011,Both,White,"Columbus, OH",64.3
13.3,2011,Female,All,"Los Angeles, CA",13.3
19.2,2011,Female,All,"Miami (Miami-Dade County), FL",19.2
24.2,2011,Female,All,"Phoenix, AZ",24.2
24.3,2011,Female,All,"San Antonio, TX",24.3
26.3,2011,Female,All,"Long Beach, CA",26.3
26.8,2011,Female,All,"San Jose, CA",26.8
27.0,2011,Female,All,"New York City, NY",27.0
27.4,2011,Female,All,"Minneapolis, MN",27.4
